precinct,year,race,party,candidate,votes
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
STATE COLLEGE NORTHEAST,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,348
STATE COLLEGE NORTHEAST,2024,AUDITOR GENERAL,REP,TIM DEFOOR,101
STATE COLLEGE NORTHEAST,2024,AUDITOR GENERAL,LIB,REECE SMITH,10
STATE COLLEGE NORTHEAST,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
STATE COLLEGE NORTHEAST,2024,AUDITOR GENERAL,CST,BOB GOODRICH,1
STATE COLLEGE NORTHEAST,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,347
STATE COLLEGE NORTHEAST,2024,STATE TREASURER,REP,STACY GARRITY,106
STATE COLLEGE NORTHEAST,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,3
STATE COLLEGE NORTHEAST,2024,STATE TREASURER,CST,TROY BOWMAN,2
STATE COLLEGE NORTHEAST,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
STATE COLLEGE NORTHEAST,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,366
STATE COLLEGE NORTHEAST,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,107
STATE COLLEGE NORTHEAST,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,DEM,WILLIAM MCGILL,357
STATE COLLEGE NORTHEAST,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,REP,CRIS DUSH,100
STATE COLLEGE NORTHEAST,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,DEM,PAUL TAKAC,369
STATE COLLEGE NORTHEAST,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,REP,THERESE HOLLEN,92
STATE COLLEGE NORTHWEST,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,607
STATE COLLEGE NORTHWEST,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,298
STATE COLLEGE NORTHWEST,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
STATE COLLEGE NORTHWEST,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
STATE COLLEGE NORTHWEST,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,589
STATE COLLEGE NORTHWEST,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,269
STATE COLLEGE NORTHWEST,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,12
STATE COLLEGE NORTHWEST,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,12
STATE COLLEGE NORTHWEST,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,545
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,262
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,17
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,14
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
STATE COLLEGE NORTHWEST,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
STATE COLLEGE NORTHWEST,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,550
STATE COLLEGE NORTHWEST,2024,AUDITOR GENERAL,REP,TIM DEFOOR,261
STATE COLLEGE NORTHWEST,2024,AUDITOR GENERAL,LIB,REECE SMITH,12
STATE COLLEGE NORTHWEST,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
